Service Request Number,Service Request Type,City Department,Created Date,Method Received,Status,Location,X_Value,Y_Value,Latitude,Longitude,Latitude/Longitude,ZIP Code,Council District,Police Precinct,Neighborhood
21-00020039,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,01/31/2021 10:46:15 PM,Find It Fix It Apps,Closed,"2859 W GOVERNMENT WAY, SEATTLE, WA 98199",1255737.42943103,245036.339484576,47.66106018,-122.39447211,POINT (-122.39447211 47.66106018),98199,7,WEST,LAWTON PARK
21-00020121,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/01/2021 08:38:45 AM,Find It Fix It Apps,Closed,"814 E HIGHLAND DR, SEATTLE, WA 98102",1273507.77060815,233584.606859715,47.63063666,-122.3214748,POINT (-122.3214748 47.63063666),98102,3,EAST,BROADWAY
21-00021682,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/03/2021 07:00:51 AM,Find It Fix It Apps,Closed,"2701 BEACON AVE S, SEATTLE, WA 98144",1275266.53072891,214689.294307176,47.57893795,-122.31287001,POINT (-122.31287001 47.57893795),98144,2,SOUTH,NORTH BEACON HILL
21-00022117,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/03/2021 01:57:07 PM,Find It Fix It Apps,Closed,"3224 S LANE ST, SEATTLE, WA 98144",1280841.7943996,221103.376354927,47.59681053,-122.29077741,POINT (-122.29077741 47.59681053),98144,3,EAST,LESCHI
21-00023349,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/05/2021 09:48:12 AM,PremierOne CSR Mobile Apps,Closed,"1509 N 45TH ST, SEATTLE, WA 98103",1269465.72595234,244826.824867657,47.66123571,-122.33875658,POINT (-122.33875658 47.66123571),98103,4,NORTH,WALLINGFORD
21-00023355,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/05/2021 09:52:13 AM,PremierOne CSR Mobile Apps,Closed,"1628 N 45TH ST, SEATTLE, WA 98103",1269692.82639228,244959.497447425,47.66161154,-122.3378457,POINT (-122.3378457 47.66161154),98103,4,NORTH,WALLINGFORD
21-00024424,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/07/2021 06:30:56 AM,Find It Fix It Apps,Closed,"3314 NE 123RD ST, SEATTLE, WA 98125",1281358.94465322,265134.377340942,47.71752608,-122.29206428,POINT (-122.29206428 47.71752608),98125,5,NORTH,CEDAR PARK
21-00025752,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 06:41:07 AM,Find It Fix It Apps,Closed,"8004 GREENWOOD AVE N, SEATTLE, WA 98103",1265637.79102081,254351.744888514,47.6871367,-122.35505164,POINT (-122.35505164 47.6871367),98103,6,NORTH,GREENWOOD
21-00025985,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 10:43:33 AM,Find It Fix It Apps,Closed,"6722 14TH AVE NW, SEATTLE, WA 98117",1260992.62534745,251293.779890693,47.67850166,-122.37365896,POINT (-122.37365896 47.67850166),98117,6,NORTH,WHITTIER HEIGHTS
21-00025998,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 10:49:34 AM,Find It Fix It Apps,Closed,"4011 19TH AVE SW, SEATTLE, WA 98106",1263981.40063791,210894.904120381,47.56793375,-122.35827936,POINT (-122.35827936 47.56793375),98106,1,SOUTHWEST,NORTH DELRIDGE
